title,clause_number,display_order,requirement_text
Risk management process,4.1,1,"You are evaluating ISO 14971:2019 clause 4.1 – “Risk management process”.

Objective:
Determine whether the document establishes, describes, and maintains an ongoing risk management process that:
- Covers the entire medical device life cycle (from concept through post-market).
- Includes risk analysis, risk evaluation, risk control, and production & post-production (P&PP) activities.
- Is integrated with or appropriately linked to the broader quality management system (QMS) / product realization processes.

Core evidence to look for (minimal subset for PASS):
- A defined risk management PROCESS (procedure, section, or flowchart) that references ISO 14971 or clearly equivalent concepts.
- Explicit or implicit statement that the process applies across the device life cycle (not just design).
- Description of the main steps: risk analysis, risk evaluation, risk control, and P&PP activities (these may be named differently but conceptually should match).
- At least some indication of integration with other QMS processes (e.g., links to design controls, complaint handling, CAPA, PMS, etc.).

Examples of strong PASS evidence:
- A dedicated “Risk Management Procedure” section that defines scope, key activities, and references related procedures.
- A flowchart showing risk management from pre-market through post-market with feedback loops.
- Statements like “This process applies to all phases of the product life cycle…” and “Risk management activities are integrated into design control, change control, and complaint handling processes.”

When to FLAG:
- The document references risk management in general terms, but it is unclear whether all life-cycle phases are covered OR the P&PP loop is vaguely described.
- It appears that risk analysis and control are defined, but their linkage to post-market monitoring is only implied, not clearly stated.

When to FAIL:
- No recognizable risk management process is described.
- The document only addresses a narrow subset (e.g., just risk analysis) without any indication that evaluation, control, or P&PP are part of a defined process.
- No link at all between risk management and other QMS/product realization processes.

Typical OFIs (can still PASS):
- The process is described but not clearly mapped to life-cycle stages.
- Links to related SOPs (e.g., complaint handling, CAPA) exist but could be clearer.
- Missing or superficial flowcharts where they would improve understanding."
"Management responsibilities (commitment, policy, review)",4.2,2,"You are evaluating ISO 14971:2019 clause 4.2 – “Management responsibilities”.

Objective:
Determine whether top management’s responsibilities for risk management are described, including:
- Demonstrated commitment (resources, authority, visibility).
- A documented risk acceptability policy.
- Periodic review of the suitability and effectiveness of the risk management process.

Core evidence to look for (minimal subset for PASS):
- Statements that top management is responsible for establishing and maintaining the risk management process.
- A documented “risk acceptability policy” or equivalent (criteria for acceptable risk and overall residual risk), approved or owned by management.
- Evidence that the risk management process is periodically reviewed for suitability and effectiveness (typically via management review or a specific risk management review).

Examples of strong PASS evidence:
- A section assigning top-level responsibility (e.g., “Top Management shall ensure adequate resources, appoint a risk management responsible person, and approve the risk management policy”).
- A documented risk acceptability policy (in this document or by reference) that defines criteria and refers to applicable regulations/standards.
- Description of how management reviews the risk management process at planned intervals (inputs/outputs, actions).

When to FLAG:
- There is a general statement about management “commitment” or “approval” but no clear policy for risk acceptability and/or no description of how suitability is reviewed.
- Responsibility is mentioned in passing but it is not clear who owns the policy or review cycle.

When to FAIL:
- No mention of management’s role in providing resources, approving policy, or reviewing the process.
- No risk acceptability policy (or anything equivalent) can be found or inferred.
- The document suggests risk decisions are made without defined criteria or management involvement.

Typical OFIs (can still PASS):
- Roles and responsibilities could be clearer (e.g., no named role for risk-management oversight).
- The risk acceptability policy exists but is not clearly linked to specific device families or regulatory expectations.
- The management review of risk management is implied (e.g., part of general management review) but could be more explicitly described."
Competence of personnel,4.3,3,"You are evaluating ISO 14971:2019 clause 4.3 – “Competence of personnel”.

Objective:
Determine whether the document requires that people performing risk management tasks are competent and that their competence is maintained and documented (education, training, skills, experience).

Core evidence to look for (minimal subset for PASS):
- A requirement that personnel involved in risk management activities must have appropriate competence.
- Reference to training, qualifications, or experience criteria for those roles.
- Indication that records of competence (e.g., training records, CVs, competency matrices) are maintained, even if stored outside this document.

Examples of strong PASS evidence:
- A section stating that risk management team members must have defined qualifications and that their training is documented.
- References to HR/training procedures or competency matrices that cover risk-management roles.
- Role descriptions (e.g., “Risk Management Lead,” “Clinical Safety Officer”) with competency expectations.

When to FLAG:
- The document mentions “trained personnel” but does not specify that this applies to risk management activities or lacks any pointer to how competence is defined or recorded.
- It is unclear whether competence is actually a requirement or simply assumed.

When to FAIL:
- No mention of competency requirements for personnel performing risk management tasks.
- No implication that training or qualification is needed for risk management activities.

Typical OFIs (can still PASS):
- Competency criteria exist but are generic (e.g., “adequately trained personnel”) without role-specific expectations.
- The document relies heavily on other SOPs for training without clearly linking risk-management roles to those processes."
Risk management plan (all sub-items a–h grouped),4.4,4,"You are evaluating ISO 14971:2019 clause 4.4 – “Risk management plan”.

Objective:
Determine whether the document describes how risk management plans (RMPs) are created, maintained, and updated, covering all required elements:
- Device/product identification and life-cycle scope.
- Assigned responsibilities and authorities.
- Planned reviews of risk management activities.
- Risk acceptability criteria and method for evaluating overall residual risk.
- Planning of verification of risk control measures.
- Planning for collection and review of production & post-production information.
- Change control for the RMP itself.

Core evidence to look for (minimal subset for PASS):
- A description of the RMP as a formal, documented plan (possibly per device/family).
- A defined STRUCTURE or TEMPLATE for the RMP that, taken together, addresses most of:
  - Device identification and life-cycle phases covered.
  - Named roles/responsibilities for risk-management activities.
  - Criteria for risk acceptability and method for overall residual risk evaluation (or reference to the risk acceptability policy).
  - Planning of reviews and verification of risk controls.
  - Approach to P&PP information flow back into risk management.
  - Version control / change history for the RMP.

Examples of strong PASS evidence:
- A section “Risk Management Plan” describing required contents including scope, roles, review points, risk criteria, verification and P&PP plans, and change control.
- An RMP template attached or referenced that includes sections for responsibilities, risk acceptability criteria, verification plans, and P&PP information.

When to FLAG:
- An RMP is referenced, but only a few of the above elements are clearly defined and it is unclear whether the others are captured elsewhere.
- The plan is described only in very high-level terms, making it unclear if it would satisfy ISO 14971 expectations in practice.

When to FAIL:
- No risk management plan is mentioned or described.
- The document suggests risk activities are performed ad hoc without any planning document per device/family.
- Key elements (e.g., risk acceptability criteria, verification planning, or P&PP information flow) are completely absent from the plan or from surrounding text.

Typical OFIs (can still PASS):
- RMP elements are scattered across multiple sections instead of clearly grouped.
- Change control for the RMP is minimal or only implied via generic document control.
- The method for overall residual risk is referenced but not clearly described."
Risk management file (RMF) & traceability,4.5,5,"You are evaluating ISO 14971:2019 clause 4.5 – “Risk management file”.

Objective:
Determine whether the document defines a risk management file (RMF) that provides traceability from:
- Each identified hazard/hazardous situation → risk analysis → risk evaluation → risk control measures → verification of implementation/effectiveness → residual risk evaluation.

Core evidence to look for (minimal subset for PASS):
- A definition of the RMF as the logical collection of risk management records.
- An expectation of TRACEABILITY linking hazards through the entire risk-management process.
- Description of how the RMF is organized (e.g., index, traceability matrix, references to other documents/systems).

Examples of strong PASS evidence:
- An explicit requirement to maintain an RMF that “shall provide traceability from hazards to risk analyses, controls, verification, and residual risk decisions.”
- A description of a hazard log or traceability matrix structure.
- Indication that the RMF may point to other systems (e.g., electronic records) and is kept up to date.

When to FLAG:
- The RMF is mentioned, but it is unclear what it contains or whether traceability across all stages is required.
- Some elements (e.g., hazard list and evaluations) are clearly documented, but connections to verification or P&PP are not explicit.

When to FAIL:
- No risk management file concept is present.
- There is no expectation of traceability from hazards to controls and residual risk decisions.

Typical OFIs (can still PASS):
- The RMF organization is described only at a high level; index or matrix is not clearly defined.
- Traceability exists but is limited (e.g., only hazard → control, with weak links to verification or P&PP)."
Risk analysis process,5.1,6,"You are evaluating ISO 14971:2019 clause 5.1 – “Risk analysis process”.

Objective:
Determine whether the document requires conducting and recording risk analysis according to clauses 5.2–5.5, including:
- Clear scope and identification of the device/configurations.
- Performance of the sequence: intended use/misuse, characteristics related to safety, hazards/hazardous situations, and risk estimation.
- Recording of results with sufficient identifiers (device, date, analysts, etc.).

Core evidence to look for (minimal subset for PASS):
- A defined risk analysis activity or process that explicitly or implicitly includes 5.2–5.5 steps.
- Requirement to record risk analysis results and metadata (e.g., device ID, date, responsible individuals).
- Linkage of risk analysis records to the RMF.

Examples of strong PASS evidence:
- A section “Risk Analysis” describing inputs, outputs, and required records (e.g., risk analysis report, FMEA, hazard analysis).
- Mention of using structured techniques (FMEA, FTA, PHA) with documented outputs.

When to FLAG:
- The document mentions risk analysis but does not clarify what is recorded or how the various steps fit together.
- Risk analysis is only referenced as “performed” without describing its main components.

When to FAIL:
- No risk analysis process is described.
- Risk analysis is mentioned only as a vague concept with no expectation of documentation or structure.

Typical OFIs (can still PASS):
- Risk analysis steps are present but not clearly aligned with 5.2–5.5.
- Metadata (e.g., analyst names) are not explicitly required but are implied by general record requirements."
Intended use and reasonably foreseeable misuse,5.2,7,"You are evaluating ISO 14971:2019 clause 5.2 – “Intended use and reasonably foreseeable misuse”.

Objective:
Determine whether the document requires:
- Documenting the intended use of the device (including indication, patient population, user type, environment, and operating principle).
- Identifying and documenting reasonably foreseeable misuse based on predictable human behavior, use errors, and field experience.

Core evidence to look for (minimal subset for PASS):
- A requirement to document intended use and key contextual factors (indications, users, environments).
- A requirement to identify and document reasonably foreseeable misuse scenarios.
- Linkage of these definitions to subsequent risk analysis (e.g., hazard identification and risk estimation).

Examples of strong PASS evidence:
- A section or template field for “Intended Use / Indications / Patient Population / User / Use Environment”.
- A specific requirement or section for “Reasonably Foreseeable Misuse” (or similarly named misuse/use error analysis).
- References to usability engineering or human-factors activities feeding misuse scenarios.

When to FLAG:
- Intended use is mentioned, but misuse is only vaguely acknowledged or not clearly required as an input to risk analysis.
- Misuse is only discussed in general HFE language without clear linkage to the risk analysis process.

When to FAIL:
- No requirement to document intended use OR the document treats intended use as implicit in labeling only.
- No mention of reasonably foreseeable misuse and no obvious way it would be captured.

Typical OFIs (can still PASS):
- Intended use is documented but lacks some dimensions (e.g., environment, user type).
- Misuse is identified but not systematically linked to human factors or post-market experience."
Characteristics related to safety,5.3,8,"You are evaluating ISO 14971:2019 clause 5.3 – “Characteristics related to safety”.

Objective:
Determine whether the document requires identifying and documenting device characteristics that relate to safety, including:
- Qualitative and quantitative characteristics.
- Limits/tolerances, essential performance, and other parameters that could influence safety.

Core evidence to look for (minimal subset for PASS):
- A step or section requiring identification of “characteristics related to safety” (even if phrased differently).
- Expectation to document limits/tolerances or performance ranges that influence safety.
- Linkage between these characteristics and the subsequent hazard identification and risk estimation.

Examples of strong PASS evidence:
- A risk analysis template containing a field for “Safety-related characteristics” or “Critical parameters”.
- Requirements to identify essential performance, alarms, control limits, and related specifications as risk inputs.

When to FLAG:
- Safety-related characteristics are implied (e.g., via engineering specifications) but not clearly required as a distinct step in risk analysis.
- It is unclear whether characterization is systematic or ad hoc.

When to FAIL:
- No mention of identifying characteristics related to safety.
- Risk analysis jumps directly to hazards without any characterization step of the device.

Typical OFIs (can still PASS):
- Characteristics are identified only indirectly through engineering documents, not clearly described in risk analysis controls.
- Quantitative limits are not consistently documented even though they are critical to safety."
Hazards and hazardous situations,5.4,9,"You are evaluating ISO 14971:2019 clause 5.4 – “Hazards and hazardous situations”.

Objective:
Determine whether the document requires systematically identifying:
- Known and foreseeable hazards.
- Hazardous situations (combinations of circumstances that could lead to harm) across the device life cycle.

Core evidence to look for (minimal subset for PASS):
- An activity or step to identify hazards (e.g., hazard analysis, hazard identification).
- An activity or step to define hazardous situations, not just a generic hazard list.
- Expectation of life-cycle coverage (e.g., normal use, maintenance, transport, disposal; interactions with other devices/users).

Examples of strong PASS evidence:
- A hazard analysis table structure including hazard, sequence of events, hazardous situation, and potential harm.
- References to systematic methods (e.g., checklists, standards, prior device experience) to populate hazards/hazardous situations.

When to FLAG:
- Hazards are mentioned, but hazardous situations are not explicitly required or are ambiguously described.
- Life-cycle phases are mentioned but not clearly integrated into the hazard identification.

When to FAIL:
- No hazard identification step is described.
- The process assumes hazards are already known and does not plan for systematic identification.

Typical OFIs (can still PASS):
- Hazard lists exist but the concept of “hazardous situation” is not well explained.
- Life-cycle coverage is partial (e.g., strong on normal use but weak on manufacturing or decommissioning)."
Risk estimation,5.5,10,"You are evaluating ISO 14971:2019 clause 5.5 – “Risk estimation”.

Objective:
Determine whether the document requires estimating risk(s) for each hazardous situation, including:
- Defining severity and probability scales.
- Describing how data, assumptions, and uncertainty are handled.
- Addressing cases where probability cannot reasonably be estimated.

Core evidence to look for (minimal subset for PASS):
- A defined method for estimating risk (e.g., categorical scales, numerical estimation).
- Clear severity and probability definitions (or references to a policy/matrix).
- Instructions on what to do when probability cannot be estimated (e.g., treat as worst case, use qualitative approach, or specific policy).

Examples of strong PASS evidence:
- A risk matrix or table defining severity levels and probability levels.
- Instructions for entering severity and probability per hazardous situation and deriving a risk score/category.
- Treatment of “unknown probability” aligned with the risk acceptability policy (e.g., considered high risk until proven otherwise).

When to FLAG:
- Risk estimation is referenced but severity/probability scales are not clearly defined.
- The approach to “unknown” or highly uncertain probability is not described.

When to FAIL:
- No method for risk estimation is defined.
- The process only qualitatively describes risks without any structured estimation or scale.

Typical OFIs (can still PASS):
- Scales exist but are not well justified or harmonized across product lines.
- Handling of uncertainty is implicit rather than explicit."
